Kode Indikator,Nama Indikator,Parent/ Child,Definisi,Rumus Perhitungan,Klasifikasi,Satuan,Indikator RPJPN,Indikator RPJMN,Indikator SDGs,Indikator SIPD,Tagging RAD,Has Child?
01.01.013,Persentase Peningkatan Kemampuan Industri Pertahanan,Parent,"Indikator ini mengukur tingkat peningkatan kemampuan industri pertahanan dalam menghasilkan Alat Peralatan Pertahanan dan Keamanan (Alpalhankam). Kemampuan industri pertahanan mencakup kapasitas produksi, penguasaan teknologi, dan kualitas produk yang dihasilkan. Dasar penilaian kemampuan suatu industri terlihat pada tingkat kesiapan manufaktur dan teknologi.","(? A/? B) x 100%

A = Jumlah komponen dalam negeri terpilih
B = Total komponen dalam Alpalhankam
",,persen,,02.02.01.01.01 - Persentase Peningkatan Kemampuan Industri Pertahanan,,,PERTAHANAN,No
01.01.014,"Persentase Penurunan Pelanggaran terhadap Kedaulatan, Keutuhan dan Keselamatan Bangsa",Parent,"Persentase penurunan jumlah insiden yang mengancam kedaulatan negara, keutuhan wilayah, dan keselamatan bangsa dalam periode waktu tertentu dibandingkan dengan periode sebelumnya. Pelanggaran tersebut dapat berupa agresi militer, pelanggaran wilayah, pemberontakan bersenjata, sabotase, spionase, aksi teror bersenjata, dan ancaman keamanan laut dan udara","Persentase Penurunan=( Jumlah Pelanggaran Sebelumnya ? Jumlah Pelanggaran Saat Ini
/Jumlah Pelanggaran Sebelumnya )×100%",,persen,,"02.01.02.01.01 - Persentase Penurunan Pelanggaran terhadap Kedaulatan, Keutuhan dan Keselamatan Bangsa",,,PERTAHANAN,No
01.01.015,Persentase Perjanjian Imbal Dagang Kandungan Lokal dan Ofset (IDKLO) yang Terlaksana dalam Pengadaan Alpalhankam Luar Negeri,Parent,"Indikator ini mengukur persentase perjanjian yang mencakup:
1. Imbal Dagang: Kegiatan perdagangan timbal balik antara Indonesia dan pihak luar negeri yang diukur berdasarkan nilai transaksi kontrak pengadaan Alpalhankam.
2. Kandungan Lokal: Produk dalam negeri yang dimiliki oleh individu atau badan hukum Indonesia.
3. Ofset: Pengaturan antara pemerintah dan pemasok luar negeri untuk mengembalikan sebagian nilai kontrak kepada Indonesia sebagai syarat jual beli.","Formulasi Perhitungan:
(? A : ? B) x 100%  

?A : Jumlah realisasi perjanjian IDKLO yang terlaksana dalam pengadaan Alpalhankam luar negeri
?B : Jumlah rencana perjanjian IDKLO  dalam pengadaan Alpalhankam luar negeri
",,persen,,02.02.03.01.01 - Persentase Perjanjian Imbal Dagang Kandungan Lokal dan Ofset (IDKLO) yang Terlaksana dalam Pengadaan Alpalhankam Luar Negeri,,,PERTAHANAN,No
01.01.016,"Persentase Realisasi Rencana Luas Wilayah Perairan Indonesia (Pedalaman, Kepulauan, Teritorial, ZEE, dan Landas Kontinen) yang Diperbarui melalui Surta Hidrografi dan Oseanografi",Parent,"Persentase luas wilayah perairan Indonesia—meliputi perairan pedalaman, kepulauan, teritorial, Zona Ekonomi Eksklusif (ZEE), dan landas kontinen—yang datanya telah diperbarui melalui survei hidrografi dan oseanografi. Survei hidrografi dan oseanografi mencakup pengukuran dan pemetaan karakteristik fisik laut, seperti kedalaman (batimetri), arus, suhu, dan salinitas, yang penting untuk navigasi, pengelolaan sumber daya laut, dan pertahanan nasional","Formulasi penghitungan: 
(? A : ? B) x 100%

? A = Jumlah wilayah perairan Indonesia (pedalaman, kepulauan dan teritorial serta ZEE) yang telah dilakukan Surta Hidrografi dan Oseanografi
? B = Target rencana survei wilayah perairan Indonesia dan wilayah yurisdiksi laut sesuai alokasi anggaran
",,persen,,"02.06.05.01.01 - Persentase Realisasi Rencana Luas Wilayah Perairan Indonesia (Pedalaman, Kepulauan, Teritorial, ZEE, dan Landas Kontinen) yang Diperbarui melalui Surta Hidrografi dan Oseanografi",,,PERTAHANAN,No
01.01.017,Persentase sumber Daya Nasional yang Dimanfaatkan menjadi Kekuatan Pertahanan,Parent,"Indikator ini menunjukkan proporsi sumber daya nasional yang telah dialokasikan dan digunakan secara efektif untuk mendukung dan memperkuat kemampuan pertahanan negara. Sumber daya nasional mencakup sumber daya manusia, sumber daya alam, sumber daya buatan, serta sarana dan prasarana yang dapat dimobilisasi untuk kepentingan pertahanan.","Formulasi Penghitungan:
(A + B + C) / 3

A = Persentase target Indeks Bela Negara Nasional
B = Persentase warga negara yang telah lulus pendidikan Komponen Cadangan dan pengelolaan Sumdanas dalam Komponen Pendukung
C = Persentase kontribusi Binter terhadap pengelolaan Sumber Daya Nasional dan pembinaan kondisi sosial guna mewujudkan Alat dan Kondisi Juang yang tangguh untuk pertahanan negara

Catatan:
Formulasi Perhitungan:
A = Persentase target Indeks Bela Negara Nasional

(? A : ? B) x 100%

? A = Jumlah realisasi Indeks Bela Negara Nasional
? B = Jumlah target Indeks Bela Negara Nasional
 ",,persen,,02.03.01.01 - Persentase sumber Daya Nasional yang Dimanfaatkan menjadi Kekuatan Pertahanan,,,PERTAHANAN,No
01.01.018,Ranking Industri Pertahanan (SIPRI top 100),Parent,SIPRI Top 100 merupakan list 100 perusahaan dengan pendapatan tertinggi yang bergerak di bidang Industri Pertahanan,,"Wilayah Administrasi: Nasional, Provinsi",peringkat,,02.02.01.01 - Ranking Industri Pertahanan (SIPRI top 100),,,PERTAHANAN,No
01.02.001,Angka Pembangunan Postur Diplomasi,Parent,"Smart Diplomacy adalah praktik diplomasi yang menggabungkan aset soft dan hard power dengan penggunaan instrumen teknologi dan inovasi baru, jejaring diplomasi dan kerja sama multi-pihak guna memperkuat posisi/postur diplomasi Indonesia di tingkat internasional. Pembangunan Postur Smart Diplomacy adalah kemajuan perkembangan tahapan pemenuhan suprastruktur dan infrastruktur dalam rangka pencapaian smart diplomacy Suprastruktur adalah seluruh kebutuhan yang bersifat intangible (i.e. pemenuhan SDM, pemenuhan skill sets) dalam rangka pencapaian smart diplomacy Infrastruktur adalah seluruh kebutuhan yang bersifat tangible (i.e. pemenuhan gedung Perwakilan RI, alat/instrumen digital) dalam rangka pencapaian smart diplomacy","Penilaian berdasarkan rentang angka 1-100 sesuai tahapan pembangunan postur smart diplomacy Target Tahun 2025-2029 5= Tersusunnya rekomendasi/strategi Pembangunan Postur Smart Diplomacy (Rekomendasi kebijakan terkait penyusunan metadata smart diplomacy; strategi pemenuhan gap antara kondisi ideal smart diplomacy dengan kondisi eksisting; roadmap pencapaian postur diplomasi) 10 = Tersusunnya kebijakan terkait pembangunan postur smart diplomacy 15 = Terpenuhinya 5,5% dari target pemenuhan postur 2027-2034 (skenario 18 tahun pemenuhan) 20= Terpenuhinya 11% dari target pemenuhan postur 2027-2034 (skenario 18 tahun pemenuhan) 25= Terpenuhinya 16,5% dari target pemenuhan postur 2027-2034 (skenario 18 tahun pemenuhan)",,-,,02.09.02.01.04 - Angka Pembangunan Postur Diplomasi,,,URUSAN LUAR NEGERI,No
01.02.002,Asia Power Index,Parent,"Asia Power Index merupakan indeks yang menunjukan kekuatan negara-negara khususnya di Asia dengan mengukur kemampuan negara dalam membentuk dan merespon lingkungan eksternal, baik dalam memengaruhi perilaku negara lain, aktor non-negara, dan peristiwa di tingkat global. Asia Power Index terdiri dari 8 unsur pengukuran, salah satunya yakni Diplomatic Influence yang memiliki bobot 10% dari perhitungan total Asia Power Index. Diplomatic Influence menunjukan pengukuran terkait cangkupan dan kekuatan pengaruh diplomasi suatu negara, mencakup aspek terkait jejaring diplomasi, peran dan partisipasi dalam institusi dan organisasi multilateral, serta ambisi strategis dan kebijakan luar negeri secara menyeluruh. Indikator ini terdiri dari 3 sub-unsur dan 17 indikator pembentuknya. Ketiga sub-unsur tersebut mengukur terkait: Diplomatic Network mencakup pada jangkauan perwakilan diplomatik di luar negeri. Tiga Indikator pembentuknya mencakup: 1) embassies (regional); 2) embassies (global); 3) Second-tier Diplomatic Network (Regional). Multilateral Power mencakup partisipasi pada fora internasional, termasuk peran dan partisipasi pada KTT, berbagai organisasi dan institusi regional maupun global, serta voting alignment di PBB. Enam indikator pembentuknya mencakup: 1) Summits, Clubs, and Organizations; 2) Institutional Voting Shares; 3) UN Capital Contributions; 4) Voting Alignment;5) Voting Partners; 6) Diplomatic Dialogues (Multilateral). Foreign Policy mencakup kemampuan pemimpin dan kebijakan luar negeri dalam mencapai kepentingan nasional negara, termasuk strategi dan efektivitas birokrasi pelaksanaan kebijakan luar negeri. Delapan indikator pembentuknya mencakup: 1) Political Leadership (Regional); 2) Political Leadership (Global); 3) Strategic Ambition; 4) Diplomatic Service; 5) Vaccine Donations; 6) Vaccine Donations (per Capita); 7) Diplomatic Dialogues (Bilateral); 8) Convening Power.
Kekuatan militer konvensional; diukur berdasarkan belanja pertahanan, angkatan bersenjata dan organisasi, senjata dan platform, kemampuan strategis, dan postur militer Asia.,Kemampuan militer dihitung dengan menggunakan skor rata-rata tertimbang pada 5 sub-ukuran dan 22 indikator.","Diplomatic Influence adalah akumulasi dari tiga komponen pembentuk, yaitu: 
1) Diplomatic Network (bobot 33%); 
2) Multialteral Power (bobot 33%); dan 
3) Foreign Policy (bobot 33%)

Kemampuan militer dihitung menggunakan skor rata-rata tertimbang pada 5 sub-ukuran dan 22 indikator.

Information Flows adalah akumulasi dari lima komponen pembentuk, yaitu: 1) Asia-Pacific International Students (bobot 20%); 2) Regional influence news agency (bobot 20%); 3) Regional influence newspapers (bobot 20%); 4) Regional influence TV broadcasters (bobot 20%), dan; 5) Regional influence radio broadcasters (bobot 20%)

1) Asia-Pacific International Students: international students enrolled in tertiary education from East, South, West and Central Asia and the Pacific; 2) Regional influence news agency: Online interest for a given Index country’s news agency in 25 other Index countries; average percent of total online searches for selected news agencies; 3) Regional influence newspapers: online interest for a given Index country’s national newspaper in 25 other Index countries; average percent of total online searches for selected newspapers; 4) Regional influence TV broadcasters: Online interest for a given Index country’s international television broadcaster(s) in 25 other Index countries; average percent of total online searches for selected television broadcasters, dan; 5) Regional influence radio broadcasters: online interest for a given Index country’s public radio broadcaster(s) in 25 other Index countries; average percent of total online searches for selected radio broadcasters;People Exchange adalah akumulasi dari empat komponen pembentuk, yaitu: 1) Diaspora influence (bobot 25%); 2) Migrant drawing power (bobot 25%); 3) Regional travel destination (bobot 25%); 4) dan Regional travel connectivity (bobot 25%)

1) Diaspora Influence: Average share of total immigrant populations resident in 25 Index countries from the given Index country of origin; 2) Migrant Drawing Power: Average share of global migrant populations from 25 Index countries of origin settled in the given Index country; 3) Regional travel destination: Average share of global migrant populations from 25 Index countries of origin settled in the given Index country; dan 4) Average share of global migrant populations from 25 Index countries of origin settled in the given Index country ;Multilateral Power adalah akumulasi dari enam komponen pembentuk, yaitu: Summits, clubs, and organizations (bobot 20%), Institutional voting shares (bobot 20%), UN capital contributions (bobot 20%), Voting alignment (bobot 20%), Voting partners (bobot 20%), dan Diplomatic dialogues multilateral (bobot 20%)

1) Summits, Clubs and Organiations; membership in select summits, diplomatic clubs and regional intergovernmental organisations; 2) institutional voting shares: Average voting shares by subscribed capital in major multilateral development banks; 3) UN Capital Contributions: Net capital contributions to the United Nations Secretariat, share of global tota; 4) Voting alignment: Voting alignment with other Index countries in adopted United Nations General Assembly resolutions; 5) Votign partners: Times country featured among top three voting partners for other Index countries in United Nations General Assembly; 6) Number of plurilateral and multilateral diplomatic dialogues held between Index countries at leader or foreign minister level","Wilayah Administrasi: Nasional, Provinsi",persen,,,,,URUSAN LUAR NEGERI,Yes
01.02.002.001,Asia Power Index (Diplomatic Influence),Child,"Asia Power Index merupakan indeks yang menunjukan kekuatan negara-negara khususnya di Asia dengan mengukur kemampuan negara dalam membentuk dan merespon lingkungan eksternal, baik dalam memengaruhi perilaku negara lain, aktor non-negara, dan peristiwa di tingkat global. Asia Power Index terdiri dari 8 unsur pengukuran, salah satunya yakni Diplomatic Influence yang memiliki bobot 10% dari perhitungan total Asia Power Index. Diplomatic Influence menunjukan pengukuran terkait cangkupan dan kekuatan pengaruh diplomasi suatu negara, mencakup aspek terkait jejaring diplomasi, peran dan partisipasi dalam institusi dan organisasi multilateral, serta ambisi strategis dan kebijakan luar negeri secara menyeluruh. Indikator ini terdiri dari 3 sub-unsur dan 17 indikator pembentuknya. Ketiga sub-unsur tersebut mengukur terkait: Diplomatic Network mencakup pada jangkauan perwakilan diplomatik di luar negeri. Tiga Indikator pembentuknya mencakup: 1) embassies (regional); 2) embassies (global); 3) Second-tier Diplomatic Network (Regional). Multilateral Power mencakup partisipasi pada fora internasional, termasuk peran dan partisipasi pada KTT, berbagai organisasi dan institusi regional maupun global, serta voting alignment di PBB. Enam indikator pembentuknya mencakup: 1) Summits, Clubs, and Organizations; 2) Institutional Voting Shares; 3) UN Capital Contributions; 4) Voting Alignment;5) Voting Partners; 6) Diplomatic Dialogues (Multilateral). Foreign Policy mencakup kemampuan pemimpin dan kebijakan luar negeri dalam mencapai kepentingan nasional negara, termasuk strategi dan efektivitas birokrasi pelaksanaan kebijakan luar negeri. Delapan indikator pembentuknya mencakup: 1) Political Leadership (Regional); 2) Political Leadership (Global); 3) Strategic Ambition; 4) Diplomatic Service; 5) Vaccine Donations; 6) Vaccine Donations (per Capita); 7) Diplomatic Dialogues (Bilateral); 8) Convening Power.","Diplomatic Influence adalah akumulasi dari tiga komponen pembentuk, yaitu: 
1) Diplomatic Network (bobot 33%); 
2) Multialteral Power (bobot 33%); dan 
3) Foreign Policy (bobot 33%)","Wilayah Administrasi: Nasional, Provinsi",persen,35 - Asia Power Index (Diplomatic Influence),02.01.01 - Asia Power Index (Diplomatic Influence),,000056 - Asia Power Index (Diplomatic Influence),URUSAN LUAR NEGERI,Yes
01.02.002.002,Asia Power Index (Military Capability),Child,"Asia Power Index merupakan indeks yang menunjukan kekuatan negara-negara khususnya di Asia dengan mengukur kemampuan negara dalam membentuk dan merespon lingkungan eksternal, baik dalam memengaruhi perilaku negara lain, aktor non-negara, dan peristiwa di tingkat global. Asia Power Index terdiri dari 8 unsur pengukuran, salah satunya yakni Military Capability. Kekuatan militer konvensional; diukur berdasarkan belanja pertahanan, angkatan bersenjata dan organisasi, senjata dan platform, kemampuan strategis, dan postur militer Asia.,Kemampuan militer dihitung dengan menggunakan skor rata-rata tertimbang pada 5 sub-ukuran dan 22 indikator.",Kemampuan militer dihitung menggunakan skor rata-rata tertimbang pada 5 sub-ukuran dan 22 indikator,"Wilayah Administrasi: Nasional, Provinsi",persen,36 - Asia Power Index (Military Capability),02.01.02 - Asia Power Index (Military Capability),,000057 - Asia Power Index (Military Capability),URUSAN LUAR NEGERI,Yes
01.02.003,Indeks Citra Indonesia di Dunia Internasional,Parent,"Citra merupakan salah satu dampak akhir yang terbentuk dari suatu usaha diplomasi ataupun kebijakan luar negeri yang diambil. Citra positif adalah hal yang perlu dibangun oleh Indonesia di mata dunia internasional. Adanya citra positif yang terbentuk akan meningkatkan kepercayaan dunia internasional, sehingga dapat menempatkan posisi Indonesia sebagai bangsa yang positif dalam berbagai aspek kehidupan. Faktor-faktor yang berpengaruh secara langsung terhadap citra meliputi isu-isu di bidang politik, ekonomi, sosial, budaya, serta pertahanan dan keamanan, oleh karena itulah isu-isu tersebut harus dapat dikelola dengan baik oleh Indonesia. Isu-isu yang ada kemudian akan disebarkan oleh media informasi sebagai alat penyebar berita kepada publik. Pemberitaan positif dan negatif tentunya akan berpengaruh terhadap mindset publik terhadap Indonesia, sehingga strategi dalam mengelola dan menangani media perlu dilakukan oleh Indonesia. Citra positif Indonesia adalah persepsi yang dipercayai/diyakini aktor lain terhadap Indonesia yang didasarkan kepada pola perilaku yang ditunjukkan Indonesia dalam pergaulan internasional, pola perilaku tersebut terbangun berdasarkan power yang dimiliki baik yang bersifat hard maupun soft, citra dalam hal ini dapat bersifat positif maupun negatif. Citra juga merupakan salah satu dampak akhir yang terbentuk dari suatu usaha diplomasi ataupun kebijakan luar negeri yang diambil. Citra positif adalah hal yang perlu dibangun oleh Indonesia di mata dunia internasional. Adanya citra positif yang terbentuk akan meningkatkan kepercayaan dunia internasional, sehingga dapat menempatkan posisi Indonesia sebagai bangsa yang berdaulat dalam berbagai aspek kehidupan. Indeks Citra Indonesia di Dunia Internasional (Indeks Citra Indonesia) adalah indeks yang menyatakan kesan atau pandangan dunia internasional terhadap negara Indonesia melalui Survei Citra Indonesia di Dunia Internasional. Survei Citra Indonesia dilakukan hanya terhadap warga negara asin","Indeks Citra Indonesia di Dunia Internasional merupakan Hasil olah data Survei Citra Indonesia di Dunia Internasional. Rumus yang digunakan adalah: Total nilai dari rata-rata indeks seluruh responden / jumlah seluruh responden dalam satu tahun Sumber data didapatkan berdasarkan hasil kuesioner yang sudah diolah pada aplikasi pengelolaan data citra Indonesia di dunia internasional (https://citraindonesia.kemlu.go.id). Kuesioner disebarkan oleh seluruh Perwakilan RI di Luar Negeri kecuali Perutusan Tetap Republik Indonesia (PTRI) dengan responden Warga Negara Asing di negara akreditasi/wilayah kerja. Negara Akreditasi/wilayah kerja adalah tempat kedudukan Perwakilan RI beserta negara akreditasi/wilayah kerja rangkapan yang dimandatkan secara resmi untuk mewakili dan memperjuangkan kepentingan Bangsa, Negara dan Pemerintah RI.","Wilayah Administrasi: Nasional, Provinsi",,,02.09.01.03 - Indeks Citra Indonesia di Dunia Internasional,,,URUSAN LUAR NEGERI,No
01.02.004,Indeks Daya Saing Digital di Tingkat Global,Parent,"Digital Competitiveness Index (DCI) yang disusun oleh IMD (International Institute for Management Development) adalah indeks yang mengukur daya saing digital suatu negara berdasarkan sejumlah faktor kunci. Meskipun IMD tidak selalu mengungkapkan secara rinci rumus perhitungan mereka, mereka menyediakan panduan umum tentang komponen dan bobot yang digunakan dalam DCI mereka","Panduan umum perhitungan DCI oleh IMD melibatkan beberapa komponen utama, yang masing-masing diberi bobot tertentu. berikut adalah panduan umum untuk perhitungan DCI berdasarkan metodologi mereka yang lama:; Knowledge:Komponeninimencakupindikator-indikator yang berkaitan dengan pendidikan dan keahlian dalam teknologi dan digital. Faktor ini terdiri dari talenta, pendidikan dan pelatihan, dukungan ilmu pengetahuan.; - Bobot yang diberikan: 33%; ; Technology: Komponen ini mencakup indikator indicator yang berkaitan dengan investasi dalam teknologi dan infrastruktur digital. Yang dalam technologi adalah subfaktor kerangka kebijakan, modal, kerangka teknologi.; - Bobot yang diberikan: 33%; Future Readiness: Komponen ini mencakup indikator-indikator yang mengukur sejauh mana suatu negara atau wilayah siap menghadapi perkembangan teknologi di masa depan. Di dalamnya terdapat subfaktor perilaku adaptif, agilitas bisnis, intergasi TIK.; - Bobot yang diberikan: 33%; ; Dalam metodologi DCI, setiap komponen ini memiliki sejumlah indikator yang lebih spesifik yang digunakan untuk mengukurnya. IMD mengumpulkan data dari berbagai sumber untuk menghitung skor dalam masing-masing komponen dan kemudian menggabungkannya dengan bobot yang setara untuk menghitung nilai akhir DCI.;",,peringkat,19 - Indeks Daya Saing Digital di Tingkat Global (Peringkat),02.05.04 - Indeks Daya Saing Digital di Tingkat Global,,,URUSAN LUAR NEGERI,No
